Date,AMZN,GOOGL,MSFT,AAPL,GOOG
2018-12-14,127344000,36358000,47043100,162814800,33732000
2018-12-17,176596000,49932000,56957300,177151600,47708000
2018-12-18,130460000,43640000,49319200,135366000,43850000
2018-12-19,175844000,58264000,68198200,196189200,49586000
2018-12-20,199836000,53674000,70334200,259092000,53470000
2018-12-21,272806000,104656000,111242100,382978400,91920000
2018-12-24,144400000,36360000,43935200,148676800,31806000
2018-12-26,208236000,46318000,51634800,234330000,47466000
2018-12-27,194440000,45996000,49498500,212468400,42196000
2018-12-28,176580000,34398000,38196300,169165600,28296000
2018-12-31,139090000,33110000,33173800,140014000,29866000
2019-01-02,159662000,31868000,35329300,148158800,30652000
2019-01-03,139512000,41960000,42579100,365248800,36822000
2019-01-04,183652000,46022000,44060600,234428400,41878000
2019-01-07,159864000,47446000,35656100,219111200,39638000
2019-01-08,177628000,35414000,31514400,164101200,35298000
2019-01-09,126976000,26998000,32280800,180396400,23986000
2019-01-10,130154000,26598000,30067600,143122800,29128000
2019-01-11,93724000,30864000,28314200,108092800,30416000
2019-01-14,120118000,28490000,28437100,129756800,22886000
2019-01-15,119970000,37518000,31587600,114843600,29272000
2019-01-16,127338000,38280000,29853900,122278800,26636000
2019-01-17,84178000,24896000,28393000,119284800,24854000
2019-01-18,120410000,44892000,37427600,135004000,39112000
2019-01-22,128336000,39632000,32371300,121576000,32270000
2019-01-23,104504000,25194000,25874300,92522400,19340000
2019-01-24,81798000,29114000,23164800,101766000,27226000
2019-01-25,98918000,23260000,31225600,134142000,22382000
2019-01-28,96754000,29334000,29476700,104768400,25686000
2019-01-29,92656000,19704000,31490500,166348800,20436000
2019-01-30,115676000,29452000,49471900,244439200,25596000
2019-01-31,218206000,40232000,55636400,162958400,30766000
2019-02-01,230124000,33116000,35535700,130672400,29244000
2019-02-04,98582000,78408000,31315100,125982000,51530000
2019-02-05,89062000,82296000,27325400,144406400,71044000
2019-02-06,78798000,48256000,20609800,112958400,42112000
2019-02-07,92532000,38298000,29760700,126966800,40896000
2019-02-08,113150000,21766000,21461100,95280000,21516000
2019-02-11,66346000,18498000,18914100,83973600,21304000
2019-02-12,97172000,35036000,25056600,89134000,32182000
2019-02-13,71206000,28042000,18394900,89960800,20996000
2019-02-14,82410000,21106000,21784700,87342800,18952000
2019-02-15,86878000,27826000,26606900,98507200,28996000
2019-02-19,73634000,21980000,18038500,75891200,20928000
2019-02-20,66752000,24090000,21607700,104457600,21756000
2019-02-21,69668000,33272000,29063200,68998800,28302000
2019-02-22,61924000,29436000,27763200,75652800,20990000
2019-02-25,63690000,26208000,23750600,87493600,28262000
2019-02-26,53316000,35026000,21536700,68280800,29426000
2019-02-27,62976000,22092000,21487100,111341600,19368000
2019-02-28,60518000,27422000,29083900,112861600,30850000
2019-03-01,99498000,34086000,23501200,103544800,29006000
2019-03-04,123348000,35490000,26608000,109744800,28920000
2019-03-05,73630000,40094000,19538300,78949600,28864000
2019-03-06,79920000,23602000,17687000,83241600,21986000
2019-03-07,99140000,30086000,25339000,99185600,23332000
2019-03-08,93340000,23694000,22818400,95997600,24248000
2019-03-11,77528000,30032000,26491600,128044000,34384000
2019-03-12,72290000,42220000,26132700,129870400,40262000
