Date,AMZN,NVDA,GOOGL,MSFT,FB,TSLA,AAPL,GOOG
2019-01-23,104504000,59102000,25194000,25874300,,187950000,92522400,19340000
2019-01-24,81798000,70897200,29114000,23164800,,120183000,101766000,27226000
2019-01-25,98918000,115457200,23260000,31225600,,108744000,134142000,22382000
2019-01-28,96754000,251152800,29334000,29476700,,96349500,104768400,25686000
2019-01-29,92656000,115393200,19704000,31490500,,69325500,166348800,20436000
2019-01-30,115676000,97422800,29452000,49471900,,168754500,244439200,25596000
2019-01-31,218206000,84285200,40232000,55636400,,188538000,162958400,30766000
2019-02-01,230124000,62504800,33116000,35535700,,109251000,130672400,29244000
2019-02-04,98582000,52859200,78408000,31315100,,110281500,125982000,51530000
2019-02-05,89062000,54242400,82296000,27325400,,101142000,144406400,71044000
2019-02-06,78798000,70246400,48256000,20609800,,75577500,112958400,42112000
2019-02-07,92532000,63712000,38298000,29760700,,97809000,126966800,40896000
2019-02-08,113150000,46160400,21766000,21461100,,87663000,95280000,21516000
2019-02-11,66346000,49518000,18498000,18914100,,106945500,83973600,21304000
2019-02-12,97172000,59106000,35036000,25056600,,82764000,89134000,32182000
2019-02-13,71206000,60537200,28042000,18394900,,77124000,89960800,20996000
2019-02-14,82410000,82726400,21106000,21784700,,78012000,87342800,18952000
2019-02-15,86878000,151674800,27826000,26606900,,58573500,98507200,28996000
2019-02-19,73634000,55189200,21980000,18038500,,62526000,75891200,20928000
2019-02-20,66752000,54098800,24090000,21607700,,107131500,104457600,21756000
2019-02-21,69668000,44854800,33272000,29063200,,133638000,68998800,28302000
2019-02-22,61924000,40174000,29436000,27763200,,86109000,75652800,20990000
2019-02-25,63690000,65602000,26208000,23750600,,99397500,87493600,28262000
2019-02-26,53316000,48846400,35026000,21536700,,128737500,68280800,29426000
2019-02-27,62976000,50025600,22092000,21487100,,167758500,111341600,19368000
2019-02-28,60518000,32494400,27422000,29083900,,157810500,112861600,30850000
2019-03-01,99498000,35718800,34086000,23501200,,343671000,103544800,29006000
2019-03-04,123348000,40999200,35490000,26608000,,256452000,109744800,28920000
2019-03-05,73630000,36292400,40094000,19538300,,281470500,78949600,28864000
2019-03-06,79920000,40352400,23602000,17687000,,155032500,83241600,21986000
2019-03-07,99140000,45010400,30086000,25339000,,141637500,99185600,23332000
2019-03-08,93340000,42241600,23694000,22818400,,132294000,95997600,24248000
2019-03-11,77528000,85972800,30032000,26491600,,110884500,128044000,34384000
2019-03-12,72290000,57957600,42220000,26132700,,112561500,129870400,40262000
2019-03-13,71040000,76890000,25888000,35513800,,102670500,124130000,28718000
2019-03-14,58932000,51938400,27302000,30763400,,106551000,94318000,23456000
2019-03-15,151018000,66148400,51886000,54681100,,221782500,156171600,49236000
2019-03-18,108582000,48699200,24442000,31207600,,154215000,104879200,25852000
2019-03-19,127284000,85497200,29788000,37588700,,177009000,126585600,30414000
2019-03-20,125312000,71914800,41508000,28113300,,103623000,124140800,44548000
2019-03-21,115356000,82431200,28150000,29854400,,89206500,204136800,24080000
2019-03-22,127260000,74764400,34422000,33624500,,131184000,169630800,34284000
2019-03-25,102076000,52521200,27576000,27067100,,153225000,175381200,29936000
2019-03-26,97318000,70350800,30752000,26097700,,110263500,199202000,38024000
2019-03-27,86496000,47437200,29428000,22733400,,131688000,119393600,28004000
2019-03-28,60860000,48026400,22402000,18334800,,101611500,83121600,19234000
2019-03-29,66416000,45689600,30890000,25399800,,89869500,94256000,25398000
2019-04-01,84776000,48382400,27706000,22789100,,121656000,111448000,25050000
2019-04-02,68962000,44092000,18288000,18142300,,82183500,91062800,16558000
2019-04-03,78522000,78350400,22180000,22860700,,118791000,93087200,20286000
2019-04-04,72478000,45737600,21022000,20112800,,355810500,76457200,19000000
2019-04-05,72810000,48174400,20012000,15826200,,195574500,74106400,18144000
2019-04-08,75056000,42419200,21750000,15116200,,156156000,103526800,17204000
2019-04-09,74288000,43997200,19668000,17612000,,88560000,143072800,17528000
2019-04-10,59280000,44477200,15510000,16477200,,105919500,86781200,14492000
2019-04-11,53096000,37460000,16998000,14209100,,147538500,83603200,14204000
2019-04-12,62288000,47170800,24312000,19745100,,101190000,111042800,18668000
2019-04-15,74488000,44009200,23796000,15792600,,150579000,70146400,23748000
2019-04-16,60892000,39496400,22622000,14071800,,109093500,102785600,17126000
2019-04-17,57870000,35100400,30366000,19300900,,76897500,115627200,24438000
2019-04-18,54998000,38098800,24750000,27991000,,88144500,96783200,26636000
2019-04-22,67476000,27993600,19084000,15648700,,182206500,77758000,16146000
2019-04-23,92808000,34685600,31868000,24025500,,164158500,93292000,26398000
2019-04-24,73516000,31820400,23396000,31257000,,160912500,70162400,20376000
2019-04-25,121982000,49929600,31344000,38033900,,327741000,74172800,22146000
2019-04-26,168652000,86898800,27228000,23654900,,335410500,74596400,24828000
2019-04-29,80426000,39192000,72368000,16324200,,250717500,88818800,49988000
2019-04-30,70120000,36292000,133178000,24166500,,141969000,186139600,124140000
2019-05-01,62340000,35428000,74340000,26821700,,160566000,259309200,52784000
2019-05-02,79258000,39468400,45098000,27350200,,272389500,127985200,38896000
2019-05-03,127632000,33682400,41588000,24911100,,355602000,83569600,39614000
2019-05-06,108356000,42217600,31774000,24239800,,162508500,129772400,31278000
2019-05-07,118042000,55522000,36604000,36017700,,151971000,155054800,31028000
2019-05-08,81572000,41916800,25520000,28419000,,92646000,105358000,26186000
2019-05-09,106166000,66024800,29556000,27235800,,100671000,139634400,23714000
2019-05-10,114360000,56950000,31650000,30915100,,105124500,164834800,26290000
2019-05-13,115668000,65691200,45626000,33944900,,162522000,229722400,37212000
2019-05-14,92582000,52488000,40392000,25266300,,108786000,146118800,36732000
